time,Normal,Kalman
0,17.4642,15
1,21.095,31.0644
2,27.2947,52.4976
3,14.1421,34.7131
4,26.9258,46.5296
5,32.0624,59.2284
6,8.544,28.6007
7,12.3693,28.6356
8,16.2788,35.609
9,15.8114,34.6699
10,23.4307,29
11,32.0156,40.1123
12,25.02,38.6394
13,21.9317,37.2156
14,22.2036,34
15,22.4722,34.4819
16,30.6105,41.2311
17,31.7805,39.1152
18,28.6356,38.0789
19,23.7065,35.8469
20,28.4253,39.8246
21,37.0135,47.5079
22,17.1172,21.6333
23,22.8473,27.2029
24,21.8403,24.5967
25,34.9285,35.6931
26,16.5529,18.3576
27,22.3607,28.178
28,33.4215,40.4969
29,36.1248,41.8688
30,29.6985,37.4433
31,30.4138,39.8246
32,34.0588,43.8292
33,20.6155,27.6586
34,17.4642,23.4307
35,26.1725,32.2025
36,28.0713,35.9026
37,20.5183,22.3607
38,9.21954,15.1327
39,9.89949,16.1245
40,10.6301,2.23607
41,15.5242,6.08276
42,6.7082,1.41421
43,17.8885,10
44,25.9422,20.8087
45,24.5153,22.4722
46,11.3137,6.7082
47,15.6525,12.083
48,9.84886,8
49,16.2788,15.1327
50,20.0998,21.587
51,14.3178,12.2066
52,31.3847,33.8378
53,22.3607,21.9317
54,23.0217,21.5407
55,20.8087,14.5602
56,12.3693,15
57,16.4924,14.5602
58,22.8473,25.2982
59,15,13.9284
60,20,21.0238
61,24.1868,21.9317
62,19.105,15.6525
63,27.0185,27.8029
64,17.088,12.0416
65,18.1108,17
66,17.8885,17.6918
67,18.1108,16.1245
68,18.7883,17.4929
69,18.0278,16.0312
70,14.5602,14.8661
71,13.4164,14.7648
72,17.088,14.4222
73,19.2354,18.3576
74,25.4951,22.0227
75,20,19.6977
76,20.8087,16.2788
77,24.4131,20.2485
78,21.095,17.2047
79,24.0832,21.4009
80,24.5967,21.5407
81,19.7231,15.2971
82,26.9072,31.0161
83,14.2127,6.40312
84,21.2132,19.4165
85,27.2947,23.0217
86,21.2132,16.1245
87,24.1661,22.2036
88,19.7231,18.1108
89,22.8035,19.2354
90,15.2971,4.24264
91,17.8885,11.3137
92,21.4009,19.7231
93,17.1172,12.0416
94,12.083,6.08276
95,10.0499,2.23607
96,14.0357,9.05539
97,17.2047,12.53
98,23.7697,22.2036
99,24.0208,23.5372
100,17.8885,15.2315
101,21.3776,18.0278
102,14.0357,9.05539
103,21.587,26.1725
104,16.0312,18.0278
105,10.6301,7
106,7.81025,6.7082
107,13,15
108,13.0384,10.0499
109,10.4403,10.0499
110,11.6619,8.06226
111,7.28011,7.61577
112,16,11.4018
